题号,题目,答案
1,数据仓库是一个面向主题的、集成的、相对稳定的、反映历史变化的数据集合，用于支持______。,管理决策
2,数据仓库系统的核心是______本身。,数据仓库
3,ETL过程的三个主要步骤是：抽取、______和加载。,转换
4,在数据仓库的粒度设计中，粒度越细，能回答的查询就越多，但需要______的存储空间。,更多
5,多维数据模型最常见的两种模式是______和雪花模式。,星型模式
6,在维度模型中，日期、商品、地区等通常被设计为______，而销售额、销售数量等则被设计为事实表。,维度表
7,数据挖掘是从大量的、不完全的、有噪声的、模糊的、随机的数据中，提取隐含在其中、人们事先不知道、但又是______的信息和知识的过程。,潜在有用
8,CRISP-DM模型中，六个阶段分别是：商业理解、数据理解、数据准备、建模、评估和______。,部署
9,关联规则X->Y的支持度是指事务集中同时包含X和Y的事务所占的______。,百分比
10,关联规则X->Y的置信度是指在包含X的事务中，同时也包含Y的______。,条件概率
11,在Apriori算法中，用于剪枝的核心性质是：频繁项集的所有______也必须是频繁的。,非空子集
12,决策树算法中，用于选择分裂属性的指标有信息增益、增益率和______。,基尼指数
13,ID3决策树算法使用______作为属性选择准则。,信息增益
14,在K-Means聚类算法中，K代表的是______。,预设的聚类数量
15,聚类分析中，样本之间的相似性度量通常使用______来衡量，如欧氏距离。,距离
16,贝叶斯分类是基于______的一种分类方法。,贝叶斯定理
17,K-近邻（KNN）分类算法中，K值的选择对分类结果有显著影响，K值越大，模型的______越大，方差越小。,偏差
18,数据预处理的主要步骤包括数据清洗、数据集成、数据变换和______。,数据归约
19,处理数据中缺失值的方法有删除记录、均值/中位数/众数填充、使用______填充等。,预测模型
20,数据规范化（归一化）的常用方法有：最小-最大规范化、z-score规范化和______。,小数定标规范化
21,主成分分析（PCA）是一种常用的______技术。,数据降维
22,在评估分类模型时，将样本实际类别和预测类别组合，可以得到一个______。,混淆矩阵
23,分类模型的准确率是指被正确分类的样本数占______的比例。,总样本数
24,精准率（Precision）衡量的是所有被预测为正类的样本中，______的比例。,真正为正类
25,召回率（Recall）衡量的是所有真实为正类的样本中，______的比例。,被正确预测为正类
26,支持向量机（SVM）的目标是找到一个______的超平面来划分数据。,最大间隔
27,当数据线性不可分时，SVM通过______将数据映射到高维空间，使其变得线性可分。,核函数
28,随机森林是由______组成的集成学习算法。,多棵决策树
29,集成学习中，Bagging通过自助采样法构建多个基学习器，主要降低______。,模型方差
30,关联规则挖掘中，如果一个项集的支持度大于等于最小支持度阈值，则称该项集为______。,频繁项集
31,在序列模式挖掘中，需要考虑______。,事件发生的顺序
32,离群点（异常点）检测是找出其行为与______显著不同的对象。,大多数对象
33,文本挖掘中，将文档转换为向量表示的常用模型是______。,词袋模型
34,词袋模型忽略掉了文本中的______和语法信息。,词序
35,通过TF-IDF可以计算词语在文档中的重要性，其中TF代表______，IDF代表逆文档频率。,词频
36,Web挖掘主要分为三类：Web内容挖掘、Web结构挖掘和______。,Web使用挖掘
37,数据仓库中的数据通常分为当前细节级、轻度综合级、______等多个级别。,高度综合级
38,元数据是“关于数据的数据”，在数据仓库中主要分为技术元数据和______。,业务元数据
39,OLAP操作中，______操作可以查看更详细的数据，而上卷操作则进行数据汇总。,钻取
40,时间序列挖掘的目标是从按时间顺序排列的数据点中找出______的模式和趋势。,有意义